timestamp_ns,timestamp_sec,relative_to_start_sec,px,py,pz,qx,qy,qz,qw,frame_id,child_frame_id,valid
4600000000,4.600000000,-31.163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,odom,base_link,True
4700000000,4.700000000,-31.063,-1.3344879400741666e-13,7.487831794605881e-07,-1.2665982751514093e-07,-1.8626487019446354e-09,-2.0489093088826845e-08,7.105429051666895e-15,0.9999999999999998,odom,base_link,True
4800000000,4.800000000,-30.963,5.483615950652165e-06,4.462884589884197e-06,-6.258470648390357e-07,-4.2840746061756317e-08,-1.6763772592298645e-08,-1.4901331724104222e-08,0.9999999999999989,odom,base_link,True
4900000000,4.900000000,-30.863,1.43048328027362e-06,1.2106841040804284e-06,-1.266560616386414e-07,-1.4901001321732094e-08,-4.284076737803839e-08,-7.45093409193486e-09,0.9999999999999989,odom,base_link,True
5000000000,5.000000000,-30.763,2.98021623166278e-05,7.297738193301484e-06,7.301501341316907e-07,-2.551813622630924e-07,6.332943769393522e-08,5.96039022582296e-08,0.9999999999999638,odom,base_link,True
5100000000,5.100000000,-30.663,1.6686135495547205e-06,8.715273907000665e-07,-1.4903406508892658e-07,9.314874205301735e-09,-2.6077994874640317e-08,-4.470460979177909e-08,0.9999999999999987,odom,base_link,True
5200000000,5.200000000,-30.563,4.763660399476066e-07,7.708713383181021e-07,-1.8631300235938397e-07,1.1178212133700054e-08,-5.0292861430989353e-08,2.2350224782030603e-08,0.9999999999999984,odom,base_link,True
5300000000,5.300000000,-30.463,1.8357544831815176e-05,5.632263309962582e-06,7.815552294232475e-08,-1.3969500400889818e-07,-5.589988916199163e-09,-2.1884542789063274e-12,0.9999999999999902,odom,base_link,True
5400000000,5.400000000,-30.363,5.244262865744531e-06,1.7093871065299027e-06,7.439842875101021e-08,-2.793531450606676e-08,-1.862905207872243e-08,-3.7255837526117784e-08,0.9999999999999989,odom,base_link,True
5500000000,5.500000000,-30.263,2.144565542039345e-06,1.8396317500446457e-06,7.063975004939493e-08,1.67691673880199e-08,-5.029457383898255e-08,-7.454254102867698e-09,0.9999999999999987,odom,base_link,True
5600000000,5.600000000,-30.163,2.369606590946205e-07,3.4192339626315515e-07,-2.5721942620293703e-07,1.118224979279601e-08,-5.588307061543665e-08,-7.45498240917185e-09,0.9999999999999984,odom,base_link,True
5700000000,5.700000000,-30.063,2.956206662929617e-05,1.0217447197646834e-05,3.8349708120222203e-07,-2.458615142586409e-07,-8.382365024317257e-08,5.214917919715662e-08,0.9999999999999649,odom,base_link,True
5800000000,5.800000000,-29.963,1.6666963347233832e-06,5.351903382688761e-07,-1.8650416677701287e-07,-5.579209982897731e-09,-4.657164964783073e-08,-7.455966510860881e-09,0.9999999999999989,odom,base_link,True
5900000000,5.900000000,-29.863,7.126291166059673e-07,6.020254659233615e-07,-3.6535504932544427e-07,-7.440714266948581e-09,-4.8435211397190816e-08,-5.883370179926566e-12,0.9999999999999989,odom,base_link,True
6000000000,6.000000000,-29.763,2.3539899984825752e-07,7.619924531354627e-07,-2.7971012173111376e-07,1.0995426791282606e-11,-5.774935374347468e-08,-2.235812601725225e-08,0.9999999999999982,odom,base_link,True
6100000000,6.100000000,-29.663,9.502616080681037e-07,3.37088636115368e-07,-4.1328519273520214e-08,-1.8505126320178525e-09,-2.981061442142162e-08,-7.457476414174377e-09,0.9999999999999996,odom,base_link,True
6200000000,6.200000000,-29.563,2.3461251430489938e-07,1.0968261676680413e-06,-1.8665176071408496e-07,-1.8493889752946285e-09,-4.098742323321854e-08,7.4431731889035225e-09,0.9999999999999991,odom,base_link,True
6300000000,6.300000000,-29.463,3.810491762124002e-06,3.8086072891019285e-06,-5.666673814630485e-07,-3.723846475622838e-08,-5.961477711480238e-08,-3.7261003171806687e-08,0.9999999999999969,odom,base_link,True
6400000000,6.400000000,-29.363,3.333242148073623e-06,2.6423426788824145e-06,-7.455132617906202e-07,9.328827488275208e-09,-7.824206704754009e-08,-1.4909964818343678e-08,0.9999999999999969,odom,base_link,True
6500000000,6.500000000,-29.263,1.1870615708176047e-06,9.321853440269479e-07,-1.7185050182888517e-07,-1.1159080770539726e-08,-2.7951507775014748e-08,-7.460061013375704e-09,0.9999999999999996,odom,base_link,True
6600000000,6.600000000,-29.163,1.4250664435166982e-06,6.97242626301886e-07,3.673410731153126e-08,-1.8446812966033113e-09,-1.863912579835868e-08,-2.2361897222822326e-08,0.9999999999999996,odom,base_link,True
6700000000,6.700000000,-29.063,1.9014881900147884e-06,1.1738289913409972e-06,-1.7191356960211124e-07,-1.1156740420403783e-08,-8.010723462348296e-08,2.2340911343121585e-08,0.9999999999999967,odom,base_link,True
6800000000,6.800000000,-28.963,5.00050464324886e-06,3.2597313293081243e-06,-8.253886107922881e-08,-4.0957857549983554e-08,1.1161532142978092e-08,-2.2363122909041495e-08,0.9999999999999989,odom,base_link,True
6900000000,6.900000000,-28.863,1.900635652418714e-06,8.268502824648749e-07,3.197590103809489e-07,-1.1154334345064852e-08,-3.740447063194096e-09,-2.2363686014159605e-08,0.9999999999999998,odom,base_link,True
7000000000,7.000000000,-28.763,1.1849526799778687e-06,1.292245769946021e-06,-4.961133868164325e-07,-1.8399184398276644e-09,-7.824704795211777e-08,1.4888667188017688e-08,0.9999999999999969,odom,base_link,True
7100000000,7.100000000,-28.663,1.8997791357833194e-06,1.683132495600148e-06,-4.9112031774711795e-08,-2.419045230794833e-08,-2.6093790239656264e-08,-3.72659059166835e-08,0.9999999999999987,odom,base_link,True
7200000000,7.200000000,-28.563,3.568269676179625e-06,4.8344454626203515e-06,-6.63817843360448e-07,-5.56284529551473e-09,-9.501236775122325e-08,-5.216758580672801e-08,0.9999999999999942,odom,base_link,True
7300000000,7.300000000,-28.463,7.068051672831643e-07,7.437888598360587e-07,1.7877482605399564e-08,-5.561680449517323e-09,-3.1683157430961715e-08,-1.491520151830627e-08,0.9999999999999996,odom,base_link,True
7400000000,7.400000000,-28.363,-4.857279236603063e-07,1.3581748135038652e-06,-2.9880482088628924e-07,5.61532775833483e-09,-6.33488212997689e-08,2.2337165006547316e-08,0.9999999999999978,odom,base_link,True
