processed_split,raw_split,image_relative_path,label_relative_path,image_sha256,annotation_count,class_ids,duplicate_group_id,leakage_group_id,inclusion_reason,exclusion_reason
,test,data/raw/gyu_det/v3/extracted/test/test/images/12326.jpg,,772df42cddc58b7f3b809a426c9e419fb83d350879e9c6067938af9d103afa55,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12363.jpg,,77f8ad7ed6de8fa92d28e4785d0a9a23586da15cfb6706cf6d0a3e2f43c4c9f8,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12376.jpg,,918ea02b64f3a304ed5bb514b1cc8e002dc5ca25e6358b343929b13be9d778ca,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12378.jpg,,cea5926752ca16f111beb5dc872af36ccffccab3a630d81391e1882792214fb2,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12381.jpg,,64371c3edc2b771b0a513bb3aecc6d070b4eb30b0ab6aa60c8e8c1844be8bd65,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12382.jpg,,36fb0a3a587fe0f1d870ed5b374cf2f9276538d77bbafe97286d6a9d3a129cbe,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12383.jpg,,a44a6179fb4963a3e6d511f09e1af4269cb8b02a16a8460d3cf698a3b23faac8,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12384.jpg,,40eecbd1a37d762ee6ae12bdd6b48164f41b4bdc3451bdda9a346c4bea4d5b9d,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12400.jpg,,003550cf38e4ae6fe8f77cef5c4e34bd70b8607735716ee65e2c6448111f71f1,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12402.jpg,,697f8b33d28dc3f6c0c22f884e1a1753289a84934d19d2345c5b6e8935a7828a,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12405.jpg,,3afb9ee15e9be26de9edf742b03ae7fafbd834d85d210fea2d7eb7b70e2847b7,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12419.jpg,,b9515fa66a1a75bec8c98fcefabbe95cdf710e98ee9e23e1f18c73f81aa94a8b,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12434.jpg,,abf69a3a6a848e051164aa72dc1501970869e211933f2da52a079254536baac3,,[],,,,UNLABELED_UNCLASSIFIED
,test,data/raw/gyu_det/v3/extracted/test/test/images/12436.jpg,,2ba855466d5b80a6e6d7d8e02574b7d77b10b526152d6f63d2ab7cbcb66c21b2,,[],,,,UNLABELED_UNCLASSIFIED
