timestamp_ns,relative_to_start_s,est_raw_x_m,est_raw_y_m,est_raw_z_m,est_raw_qx,est_raw_qy,est_raw_qz,est_raw_qw,est_aligned_x_m,est_aligned_y_m,est_aligned_z_m,est_aligned_qx,est_aligned_qy,est_aligned_qz,est_aligned_qw,gt_x_m,gt_y_m,gt_z_m,gt_qx,gt_qy,gt_qz,gt_qw
38800000000,3.037,7.0060004873084836e-06,5.458571649796795e-06,-8.74202896739007e-07,-5.793365431827567e-08,-1.1768628382924247e-07,-4.83184550148503e-08,0.9999999999999902,0.02947948124409428,0.2071495704541966,1.0817409280711991,-0.6355688911812584,0.045036951552399666,-0.0779785474254203,0.7667745455470688,0.0,0.0,1.5,0.0,0.0,0.0,1.0
38900000000,3.137,0.00015601265477016568,-6.555502477567643e-05,7.0549858719459735e-06,1.112743007052045e-06,1.5046879297853276e-06,5.379412868846032e-06,0.9999999999837799,0.02962297822305867,0.20711811554691778,1.0818166115685321,-0.6355676225662946,0.045041553956140803,-0.07797546943207943,0.7667756397600871,0.00016394186437868993,3.7259043473308135e-18,1.5,0.0,0.0,2.1188220675878268e-05,0.9999999997755297
39000000000,3.237,0.001267553772777319,-0.0005373682361096144,7.94646839494817e-05,7.856449874870925e-06,1.2529721047744817e-05,4.461040948247446e-05,0.999999998895597,0.03069926002106327,0.20690672699064258,1.0823268143687454,-0.6355598244060984,0.04507441575637153,-0.07795269890048405,0.7667824876581635,0.001344368112874519,3.4652670202742284e-14,1.5,0.0,0.0,0.00017377849130299994,0.9999999849005183
39100000000,3.337,0.004137473646551371,-0.0017556301318109035,0.00025464873760938644,2.5971563910961864e-05,4.090724615330824e-05,0.00014636703679877963,0.9999999881143828,0.033476158228339006,0.20634953172775192,1.0836419802771002,-0.6355391316854481,0.04515943518584343,-0.07789352538672792,0.7668006495909021,0.004412688862450398,5.380481117480116e-12,1.5,0.0,0.0,0.0005704291481580447,0.9999998373052802
39200000000,3.437,0.009508442133665085,-0.004039957653731108,0.0005832383176311851,5.9302473973697275e-05,9.32236051090788e-05,0.00033619728212136007,0.9999999373819799,0.03867289010476099,0.20530668220210346,1.0861077192130997,-0.6355009131934685,0.04531759884586221,-0.07778271619769632,0.7668342412973105,0.010031157260622092,1.7738383939595684e-11,1.5,0.0,0.0,0.0012967577521874032,0.9999991592093126
39300000000,3.537,0.017586905509233475,-0.007462520617991686,0.0010855537839233875,0.00010972929200927526,0.00017347584679426532,0.0006218196455649511,0.9999997856029478,0.04649147266814166,0.203748348615651,1.0898049062134203,-0.6354430291749107,0.045556727850001866,-0.07761697329399368,0.766884832733895,0.01866886338137367,2.645707179741638e-11,1.5,0.0,0.0,0.002413420179340555,0.9999970876972782
39400000000,3.637,0.02678406611084938,-0.006933793891221285,0.0016447791131213307,0.00015311387814496798,0.0002808033689309793,0.0007852211477600127,0.9999996405666143,0.055666487338171304,0.20275826984085413,1.0896674366648966,-0.6353939424233187,0.04573948716748444,-0.07756183780871836,0.7669202035160777,0.030617847020553413,3.212284634616365e-11,1.5,0.0,0.0,0.003958179538992767,0.9999921663766858
39500000000,3.737,0.0379684716463089,-0.006585140712559223,0.0022176525089889765,0.00022072341024834995,0.000410078139916195,0.0010179841583506499,0.9999993734124781,0.06678758824734005,0.20139758552360923,1.0897690383636605,-0.6353213677302271,0.04598126456371284,-0.07746854816727262,0.7669752975548628,0.046009191624548154,3.5284935558038187e-11,1.5,0.0,0.0,0.00594798365366916,0.9999823105887702
39600000000,3.837,0.06129268556833267,-0.040413469076156616,0.003991464152932167,5.459749910421064e-05,0.0005925548021872713,0.007122583516388816,0.9999744570247641,0.08792315215470792,0.19290236626119578,1.1240128750456821,-0.6351437502478622,0.05001290823744482,-0.07289424826439231,0.7673184176733172,0.06482910069534793,3.64454382589361e-11,1.5,0.0,0.0,0.008381037394790094,0.9999648784893332
39800000000,4.037,0.10754817724227905,-0.08176799863576889,0.00627981498837471,0.00010959065350253141,0.0009022253343176047,0.013394622562121792,0.9999098749716163,0.13123548291606574,0.1794957624701485,1.1664311394308506,-0.6347539146349718,0.05422947140699829,-0.06827926580671508,0.7677789878261794,0.11207137544286709,3.4501993938531935e-11,1.5,0.0,0.0,0.01448842152568828,0.999895037312264
