view,split,metric,count,mean,min,p01,p05,p25,median,p75,p95,p99,max
RAW_VALIDATED_INVENTORY,all,width,11123,4158.145374449339,250.0,480.0,1600.0,3456.0,4608.0,5184.0,5184.0,6000.0,6000.0
RAW_VALIDATED_INVENTORY,all,height,11123,3111.271599388654,132.0,320.0,1200.0,2368.0,3456.0,3888.0,3888.0,4208.0,5184.0
RAW_VALIDATED_INVENTORY,all,megapixels,11123,14.30538816470377,0.033,0.1536,1.92,8.474112,15.925248,20.155392,20.155392,20.256,24.0
RAW_VALIDATED_INVENTORY,all,image_aspect_ratio,11123,1.3484513190167828,0.5627376425855514,0.75,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1.7777777777777777,1.893939393939394
RAW_VALIDATED_INVENTORY,train,width,8898,4114.718588446842,265.0,480.0,1600.0,3264.0,4608.0,5184.0,5184.0,6000.0,6000.0
RAW_VALIDATED_INVENTORY,train,height,8898,3072.6559901101373,170.0,320.0,1200.0,2248.0,3456.0,3888.0,3888.0,4000.0,5184.0
RAW_VALIDATED_INVENTORY,train,megapixels,8898,13.999934190042707,0.04505,0.1536,1.92,7.962624,15.925248,20.155392,20.155392,20.256,24.0
RAW_VALIDATED_INVENTORY,train,image_aspect_ratio,8898,1.3508694139193032,0.6662162162162162,0.75,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1.7777777777777777,1.7802197802197801
RAW_VALIDATED_INVENTORY,valid,width,1112,4251.0,250.0,480.0,1600.0,4000.0,4608.0,5184.0,5184.0,6000.0,6000.0
RAW_VALIDATED_INVENTORY,valid,height,1112,3237.423561151079,132.0,320.0,1200.0,3000.0,3888.0,3888.0,4000.0,5184.0,5184.0
RAW_VALIDATED_INVENTORY,valid,megapixels,1112,15.05798804766187,0.033,0.1536,1.92,9.980928,15.925248,20.155392,20.155392,20.256,24.0
RAW_VALIDATED_INVENTORY,valid,image_aspect_ratio,1112,1.3328055154341372,0.5627376425855514,0.5627376425855514,1.1415364296720245,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.502579727558303,1.7777198525539757,1.893939393939394
RAW_VALIDATED_INVENTORY,test,width,1113,4412.554357592094,313.0,480.0,1200.0,4608.0,5184.0,5184.0,5184.0,6000.0,6000.0
RAW_VALIDATED_INVENTORY,test,height,1113,3293.949685534591,220.0,320.0,1032.0000000000002,3456.0,3888.0,3888.0,3888.0,3888.0,5184.0
RAW_VALIDATED_INVENTORY,test,megapixels,1113,15.995449617250676,0.06886,0.1536,1.643520000000001,15.925248,20.155392,20.155392,20.155392,20.256,24.0
