split,image_filename,label_filename,annotation_index,class_id,class_name,normalized_width,normalized_height,normalized_area,pixel_width,pixel_height,pixel_area,aspect_ratio,relative_image_area,normalized_aspect_ratio,size_category,near_border,boundary_excess,rounding_warning,extreme_aspect_ratio
train,10.JPG,10.txt,1,1,Breakage,0.08443,0.074013,0.00624891759,231.00048,134.999712,31184.998271861758,1.71111831705241,0.00624891759,1.1407455447016066,small,False,0.0,False,False
train,10.JPG,10.txt,2,1,Breakage,0.265716,0.439145,0.11668785282000001,726.998976,801.00048,582326.5287355086,0.9076136583588563,0.11668785282000001,0.6050757722392376,large,True,0.0,False,False
train,10.JPG,10.txt,3,4,Reinforcement,0.061404,0.035636,0.002188192944,168.001344,65.00006400000001,10920.098112086016,2.584633516668537,0.002188192944,1.7230890111123582,small,False,0.0,False,False
train,10.JPG,10.txt,4,2,Comb,0.774854,0.527961,0.40909269269400006,2120.000544,963.000864,2041562.3555524705,2.201452380005341,0.40909269269400006,1.467634920003561,large,True,0.0,False,False
train,1000.JPG,1000.txt,1,4,Reinforcement,0.021199,0.075658,0.001603873942,58.000464,138.000192,8004.075168089088,0.4202926326363372,0.001603873942,0.2801950884242248,small,False,0.0,False,False
train,1000.JPG,1000.txt,2,1,Breakage,0.399854,0.369518,0.147753250372,1094.000544,674.0008320000001,737357.2768644525,1.6231442040712494,0.147753250372,1.0820961360474997,large,False,0.0,False,False
train,1000.JPG,1000.txt,3,2,Comb,0.41557,0.268092,0.11141099244,1136.99952,488.999808,555992.5469760922,2.3251533055816664,0.11141099244,1.5501022037211107,large,True,0.0,False,False
train,1000.JPG,1000.txt,4,2,Comb,0.127193,0.610746,0.077682615978,348.000048,1114.000704,387672.29846403375,0.31238763741391673,0.077682615978,0.20825842494261115,medium,True,0.0,False,False
train,1000.JPG,1000.txt,5,2,Comb,0.703582,0.336623,0.23684188358600003,1925.000352,614.000352,1181950.8937281242,3.135177929018516,0.23684188358600003,2.0901186193456778,large,True,0.0,False,False
train,1000.JPG,1000.txt,6,0,Crack,0.044591,0.257675,0.011489985925,122.000976,469.9992,57340.3611192192,0.2595769865140196,0.011489985925,0.17305132434267972,medium,False,0.0,False,False
train,1000.JPG,1000.txt,7,2,Comb,0.153143,0.246711,0.037782062673,418.999248,450.00086400000004,188550.02361535028,0.9311076522733076,0.037782062673,0.6207384348488717,medium,True,0.0,False,False
train,10001.jpg,10001.txt,1,1,Breakage,0.609065,0.517337,0.315091859905,2806.57152,1787.916672,5017916.011768381,1.569744028876084,0.315091859905,1.1773080216570628,large,False,0.0,False,False
train,10001.jpg,10001.txt,2,4,Reinforcement,0.0628007,0.366218,0.0229987467526,289.3856256,1265.649408,366260.74572434963,0.22864596133086487,0.0229987467526,0.17148447099814865,medium,False,0.0,False,False
train,10001.jpg,10001.txt,3,4,Reinforcement,0.0482905,0.171284,0.008271390001999999,222.522624,591.957504,131723.93708657048,0.37590979503826005,0.008271390001999999,0.28193234627869507,small,False,0.0,False,False
train,10001.jpg,10001.txt,4,4,Reinforcement,0.218542,0.0566735,0.012385540036999999,1007.041536,195.863616,197242.79670315416,5.141544696080766,0.012385540036999999,3.8561585220605745,medium,False,0.0,False,False
train,10001.jpg,10001.txt,5,4,Reinforcement,0.276092,0.0890827,0.024595020808400002,1272.2319360000001,307.8698112,391681.80593893054,4.1323698840141425,0.024595020808400002,3.099277413010607,medium,False,0.0,False,False
train,10001.jpg,10001.txt,6,1,Breakage,0.0615914,0.283797,0.0174794545458,283.8131712,980.8024320000001,278364.64854659233,0.28936833957605845,0.0174794545458,0.21702625468204384,medium,False,0.0,False,False
train,10002.jpg,10002.txt,1,5,Seepage,0.987589,1.0,0.987589,2022.582272,1536.0,3106686.3697920004,1.3167853333333335,0.987589,0.987589,large,True,0.0,False,False
train,10004.jpg,10004.txt,1,1,Breakage,0.932165,0.989327,0.922216002955,2416.17168,1923.2516879999998,4646906.262057796,1.256295104315021,0.922216002955,0.9422213282362657,large,True,0.0,False,False
train,10005.jpg,10005.txt,1,4,Reinforcement,0.0718437,0.258263,0.0185545694931,331.05576959999996,892.5569280000001,295486.1207108518,0.3709071760182449,0.0185545694931,0.27818038201368367,medium,False,0.0,False,False
train,10005.jpg,10005.txt,2,4,Reinforcement,0.0454823,0.175421,0.0079785505483,209.5824384,606.2549759999999,127060.39616221348,0.3457001537254187,0.0079785505483,0.259275115294064,small,False,0.0,False,False
train,10005.jpg,10005.txt,3,4,Reinforcement,0.181178,0.0459173,0.0083192045794,834.868224,158.69018880000002,132485.3960896807,5.2609945851926545,0.0083192045794,3.9457459388944907,small,False,0.0,False,False
train,10005.jpg,10005.txt,4,4,Reinforcement,0.165153,0.0457531,0.007556261724299999,761.025024,158.1227136,120335.3419123851,4.812876067414011,0.007556261724299999,3.6096570505605086,small,False,0.0,False,False
train,10005.jpg,10005.txt,5,4,Reinforcement,0.0403679,0.257888,0.0104103969952,186.0152832,891.260928,165788.1539270148,0.2087102411382719,0.0104103969952,0.15653268085370392,medium,False,0.0,False,False
train,10005.jpg,10005.txt,6,4,Reinforcement,0.127691,0.0481171,0.0061441206161,588.400128,166.2926976,97846.6445533053,3.5383401465729785,0.0061441206161,2.6537551099297336,small,True,1.0000000000287557e-07,True,False
train,10005.jpg,10005.txt,7,1,Breakage,0.806904,0.46851,0.37804259304,3718.213632,1619.17056,6020422.048725074,2.2963693411026447,0.37804259304,1.7222770058269834,large,True,0.0,False,False
train,10005.jpg,10005.txt,8,4,Reinforcement,0.191948,0.0609892,0.0117067549616,884.496384,210.7786752,186432.9760387105,4.196327655825403,0.0117067549616,3.1472457418690523,medium,False,0.0,False,False
train,10005.jpg,10005.txt,9,4,Reinforcement,0.118578,0.0467112,0.0055389206736000006,546.407424,161.4339072,88208.68537940706,3.3847128740002397,0.0055389206736000006,2.5385346555001798,small,True,0.0,False,False
train,10005.jpg,10005.txt,10,1,Breakage,0.422604,0.375695,0.15877020978,1947.3592319999998,1298.40192,2528454.9657585258,1.4998123477821104,0.15877020978,1.1248592608365828,large,True,0.0,False,False
train,10005.jpg,10005.txt,11,4,Reinforcement,0.0502905,0.220746,0.011101426713,231.73862400000002,762.898176,176792.97355834983,0.30376088354941877,0.011101426713,0.2278206626620641,medium,False,0.0,False,False
train,10006.jpg,10006.txt,1,1,Breakage,0.998867,0.26549,0.26518919983,4602.779136,917.53344,4223203.774214308,5.016470174645623,0.26518919983,3.7623526309842177,large,True,5.00000000069889e-07,True,False
train,10007.jpg,10007.txt,1,2,Comb,1.0,1.0,1.0,6000.0,3376.0,20256000.0,1.7772511848341233,1.0,1.0,large,True,0.0,False,False
train,10008.jpg,10008.txt,1,1,Breakage,0.303729,0.443265,0.134632435185,1049.6874240000002,1021.2825600000001,1072027.4595825255,1.027812933572468,0.134632435185,0.6852086223816454,large,True,0.0,False,False
train,10008.jpg,10008.txt,2,0,Crack,0.156549,0.388914,0.06088409778599999,541.0333439999999,896.0578559999999,484797.1782491504,0.6037928693747204,0.06088409778599999,0.4025285795831469,medium,True,0.0,False,False
train,10008.jpg,10008.txt,3,1,Breakage,0.321835,0.282983,0.09107383380499999,1112.2617599999999,651.9928319999999,725186.6948277042,1.7059416996780725,0.09107383380499999,1.1372944664520483,medium,False,0.0,False,False
train,10008.jpg,10008.txt,4,1,Breakage,0.176854,0.267647,0.04733444253800001,611.2074240000001,616.6586880000001,376906.3681796998,0.9911599980571424,0.04733444253800001,0.660773332038095,medium,False,0.0,False,False
train,10008.jpg,10008.txt,5,1,Breakage,0.319207,0.582288,0.18587040561600002,1103.179392,1341.591552,1480016.1526476964,0.8222915464512406,0.18587040561600002,0.5481943643008271,large,False,0.0,False,False
train,10008.jpg,10008.txt,6,1,Breakage,0.804439,0.614213,0.49409689150700004,2780.141184,1415.146752,3934307.7666390343,1.9645603398169689,0.49409689150700004,1.3097068932113127,large,False,0.0,False,False
train,10008.jpg,10008.txt,7,1,Breakage,0.817843,0.39967,0.32686731181,2826.465408,920.83968,2602721.5018337895,3.06944354092126,0.32686731181,2.0462956939475063,large,False,0.0,False,False
train,10009.jpg,10009.txt,1,2,Comb,0.779706,0.905917,0.706348920402,3592.885248,3130.849152,11248781.73193411,1.1475753297487519,0.706348920402,0.8606814973115638,large,True,0.0,False,False
train,10009.jpg,10009.txt,2,4,Reinforcement,0.0365047,0.0918939,0.0033545592513300002,168.2136576,317.5853184,53422.18800812458,0.5296644644893005,0.0033545592513300002,0.3972483483669754,small,False,0.0,False,False
train,10009.jpg,10009.txt,3,4,Reinforcement,0.252858,0.0522993,0.013224296399400001,1165.169664,180.7463808,210600.19978595205,6.44643427349888,0.013224296399400001,4.834825705124161,medium,False,0.0,False,False
