group,metric,count,mean,min,p01,p05,p25,median,p75,p95,p99,max
train,normalized_width,37632,0.20672376738148385,0.002572,0.008102,0.016204,0.051901,0.118316,0.262804,0.7874720499999996,0.99895921,1.0
train,normalized_height,37632,0.1970929670567602,0.002122,0.010995,0.020833,0.059952099999999994,0.124395,0.259002,0.6419848499999997,0.9872649700000005,1.0
train,normalized_area,37632,0.05983843269424341,1.6373352e-05,0.00015720534232,0.0005694006686000002,0.0038111166780000006,0.014616854211,0.055028003792499995,0.27645730496059984,0.6507314576570902,1.0
train,pixel_width,37632,828.114594101033,6.000006,26.998272,58.142386500000036,199.99872000000002,469.333728,1059.5802600000002,2966.449910399997,4607.000064,6000.0
train,pixel_height,37632,584.3921738359609,8.250336,29.999328,56.999808,169.000896,359.246016,770.000256,1870.7251967999985,3124.7596281600095,5182.999488
train,pixel_area,37632,743052.8204785135,127.99801597284,1544.4678350898669,5415.365260718901,40212.62530414197,172182.80961662054,644646.991354219,3512013.8785055373,8435922.39472008,23994432.0
train,aspect_ratio,37632,2.229758737850496,0.04276954133787187,0.1187121903047081,0.19969590052999112,0.5880837850920458,1.3221612305886037,2.756241074972475,7.529499905372125,13.116279357720384,56.315965994429625
train,relative_image_area,37632,0.05983843269424341,1.6373352e-05,0.00015720534232,0.0005694006686000002,0.0038111166780000006,0.014616854211,0.055028003792499995,0.27645730496059984,0.6507314576570902,1.0
valid,normalized_width,4929,0.21369919525055792,0.002894,0.006944,0.012539,0.0480892,0.123843,0.274325,0.8506239999999994,0.99908188,1.0
valid,normalized_height,4929,0.18487650203489553,0.003472,0.00878084,0.016718,0.056327,0.123457,0.242541,0.5961711999999992,0.9906101200000003,1.0
valid,normalized_area,4929,0.05800641464811794,1.9794665e-05,0.00011493914395999999,0.0002923894306,0.0034921359954,0.015739600912,0.05236791104,0.2681665171625995,0.654256100063242,1.0
valid,pixel_width,4929,915.4120761316333,11.176825,26.5182434,52.000704,188.00179200000002,508.99968,1192.4912000000002,3491.0009855999947,5170.998528,5985.888
valid,pixel_height,4929,572.020049252542,7.645250400000001,26.99873792,54.999168,172.00123200000002,389.000832,793.99872,1594.7171999999996,2904.6087820800058,4000.0
valid,pixel_area,4929,783924.3436655344,175.382261078016,1455.1684051979062,4112.161178609664,40437.882436976644,204755.66100000002,748713.0602861199,3858503.6740393275,7752318.311164093,20208357.888
valid,aspect_ratio,4929,2.2580187000668492,0.05547847745754121,0.11170832687690678,0.19287370287758787,0.6257425810868369,1.3864810688644513,2.8313420880435025,7.508945410094882,13.086873989220692,24.041817867634354
valid,relative_image_area,4929,0.05800641464811794,1.9794665e-05,0.00011493914395999999,0.0002923894306,0.0034921359954,0.015739600912,0.05236791104,0.2681665171625995,0.654256100063242,1.0
test,normalized_width,5886,0.1899029093442066,0.00135,0.006366,0.013374,0.056576275,0.123071,0.2353705,0.66025275,0.996528,1.0
test,normalized_height,5886,0.15296047803261978,0.003665,0.008735399999999999,0.015689,0.050154,0.09873185000000001,0.18272025,0.49990824999999994,0.9514293999999985,1.0
test,normalized_area,5886,0.042743992843591774,8.73203e-06,6.769294109999999e-05,0.0002484524415,0.00377976537375,0.012270753891000002,0.034880345274749994,0.1831725670845,0.5409853240460988,0.999567
test,pixel_width,5886,842.1688063227149,6.9984,26.998272,56.998079999999995,230.91426,557.000064,1093.539288,2741.485824,4590.602726399999,5995.812
test,pixel_height,5886,479.31824868588177,8.704652,29.8622448,54.807660799999994,167.000832,332.000208,606.667542,1434.0773159999999,2464.630133599997,4000.0
test,pixel_area,5886,575264.5687777435,172.606236996528,1069.255830768419,3774.4404739084803,53492.06711159655,189712.27242479002,540760.9429119837,2244777.4527508314,6689956.53235078,23759532.262656
test,aspect_ratio,5886,2.470309053773562,0.02884521153846154,0.12787635643143522,0.24310563629570528,0.8401224601024527,1.6740133699666748,3.1649323698919143,7.699807445004258,12.11025782591889,32.39494003614259
test,relative_image_area,5886,0.042743992843591774,8.73203e-06,6.769294109999999e-05,0.0002484524415,0.00377976537375,0.012270753891000002,0.034880345274749994,0.1831725670845,0.5409853240460988,0.999567
