view,split,width,height,images,percent,rare_resolution
RAW_VALIDATED_INVENTORY,all,5184,3888,3989,35.86262698912164,False
RAW_VALIDATED_INVENTORY,all,4608,3456,3381,30.39647577092511,False
RAW_VALIDATED_INVENTORY,all,1600,1200,778,6.994515868021217,False
RAW_VALIDATED_INVENTORY,all,2736,1824,691,6.212352782522701,False
RAW_VALIDATED_INVENTORY,all,2048,1536,453,4.072642272768138,False
RAW_VALIDATED_INVENTORY,all,5152,3864,261,2.3464892564955497,False
RAW_VALIDATED_INVENTORY,all,4000,3000,233,2.0947586082891307,False
RAW_VALIDATED_INVENTORY,all,1088,816,158,1.4204800863076508,False
RAW_VALIDATED_INVENTORY,all,480,320,147,1.3215859030837005,False
RAW_VALIDATED_INVENTORY,all,3456,2304,110,0.9889418322395037,False
RAW_VALIDATED_INVENTORY,all,3888,5184,90,0.8091342263777758,False
RAW_VALIDATED_INVENTORY,all,4000,2248,72,0.6473073811022206,False
RAW_VALIDATED_INVENTORY,all,6000,4000,72,0.6473073811022206,False
RAW_VALIDATED_INVENTORY,all,6000,3376,61,0.5484131978782703,False
RAW_VALIDATED_INVENTORY,all,2592,1944,60,0.5394228175851838,False
RAW_VALIDATED_INVENTORY,all,3264,2448,50,0.44951901465431987,False
RAW_VALIDATED_INVENTORY,all,2816,2112,49,0.44052863436123346,False
RAW_VALIDATED_INVENTORY,all,5472,3648,39,0.3506248314303695,False
RAW_VALIDATED_INVENTORY,all,2272,1704,36,0.3236536905511103,False
RAW_VALIDATED_INVENTORY,all,3648,2736,35,0.3146633102580239,False
RAW_VALIDATED_INVENTORY,all,4208,2368,32,0.28769216937876474,False
RAW_VALIDATED_INVENTORY,all,606,390,26,0.23374988762024634,False
RAW_VALIDATED_INVENTORY,all,5184,2912,19,0.17081722556864154,False
RAW_VALIDATED_INVENTORY,all,550,394,16,0.14384608468938237,False
RAW_VALIDATED_INVENTORY,all,1200,1600,15,0.13485570439629596,False
RAW_VALIDATED_INVENTORY,all,2736,3648,15,0.13485570439629596,False
RAW_VALIDATED_INVENTORY,all,554,370,13,0.11687494381012317,False
RAW_VALIDATED_INVENTORY,all,1280,960,13,0.11687494381012317,False
RAW_VALIDATED_INVENTORY,all,2368,4208,13,0.11687494381012317,False
RAW_VALIDATED_INVENTORY,all,3456,4608,13,0.11687494381012317,False
RAW_VALIDATED_INVENTORY,all,960,720,12,0.10788456351703678,False
RAW_VALIDATED_INVENTORY,all,1704,2272,12,0.10788456351703678,False
RAW_VALIDATED_INVENTORY,all,1920,1080,12,0.10788456351703678,False
RAW_VALIDATED_INVENTORY,all,2112,2816,11,0.09889418322395037,False
RAW_VALIDATED_INVENTORY,all,1972,2960,10,0.08990380293086397,False
RAW_VALIDATED_INVENTORY,all,4896,2752,10,0.08990380293086397,False
RAW_VALIDATED_INVENTORY,all,552,394,9,0.08091342263777758,True
RAW_VALIDATED_INVENTORY,all,575,431,9,0.08091342263777758,True
RAW_VALIDATED_INVENTORY,all,550,413,8,0.07192304234469118,True
RAW_VALIDATED_INVENTORY,all,2801,1867,7,0.06293266205160478,True
RAW_VALIDATED_INVENTORY,all,2918,2188,6,0.05394228175851839,True
RAW_VALIDATED_INVENTORY,all,3072,2304,6,0.05394228175851839,True
RAW_VALIDATED_INVENTORY,all,550,393,5,0.04495190146543199,True
RAW_VALIDATED_INVENTORY,all,960,1280,5,0.04495190146543199,True
RAW_VALIDATED_INVENTORY,all,3264,1836,5,0.04495190146543199,True
RAW_VALIDATED_INVENTORY,all,3864,5152,4,0.03596152117234559,True
RAW_VALIDATED_INVENTORY,all,265,170,3,0.026971140879259194,True
RAW_VALIDATED_INVENTORY,all,552,393,3,0.026971140879259194,True
RAW_VALIDATED_INVENTORY,all,1536,2048,3,0.026971140879259194,True
RAW_VALIDATED_INVENTORY,all,320,240,2,0.017980760586172796,True
RAW_VALIDATED_INVENTORY,all,320,480,2,0.017980760586172796,True
RAW_VALIDATED_INVENTORY,all,557,370,2,0.017980760586172796,True
RAW_VALIDATED_INVENTORY,all,558,370,2,0.017980760586172796,True
RAW_VALIDATED_INVENTORY,all,590,442,2,0.017980760586172796,True
RAW_VALIDATED_INVENTORY,all,629,473,2,0.017980760586172796,True
RAW_VALIDATED_INVENTORY,all,3456,2592,2,0.017980760586172796,True
RAW_VALIDATED_INVENTORY,all,250,132,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,280,308,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,313,220,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,319,240,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,322,240,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,349,240,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,360,240,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,360,480,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,390,606,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,400,240,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,405,240,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,427,240,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,500,287,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,500,298,1,0.008990380293086398,True
RAW_VALIDATED_INVENTORY,all,500,299,1,0.008990380293086398,True
